palle ID,palle Name,Upabasti ID,Created On,Updated On
9030419126,debada guda thanda (P),9030419126,07-Jan-21,07-Jan-21
9030419127,ntr thanda (P),9030419127,07-Jan-21,07-Jan-21
9030419128,makas (P),9030419128,07-Jan-21,07-Jan-21
9030419129,debada guda,9030419129,07-Jan-21,07-Jan-21
9030420130,mucharla,9030420130,07-Jan-21,07-Jan-21
9030420131,saireddy guda ,9030420131,07-Jan-21,07-Jan-21
9030420132,sarla rao palli,9030420132,07-Jan-21,07-Jan-21
9030420133,dasarla palli,9030420133,07-Jan-21,07-Jan-21
9030420134,uttala palli (P),9030420134,07-Jan-21,07-Jan-21
9030420135,saireddy guda thanda (P),9030420135,07-Jan-21,07-Jan-21
9030420136,pothu banda thanda (P),9030420136,07-Jan-21,07-Jan-21
9030420137,pochamma gada thanda (P),9030420137,07-Jan-21,07-Jan-21
9030420138,dasarla palli thanda,9030420138,07-Jan-21,07-Jan-21
9030421139,nedhunooru,9030421139,07-Jan-21,07-Jan-21
9030421140,manya guda,9030421140,07-Jan-21,07-Jan-21
9030421141,peruguda (P),9030421141,07-Jan-21,07-Jan-21
9030421142,kk bhasthi (P),9030421142,07-Jan-21,07-Jan-21
9030421143,bachu palli,9030421143,07-Jan-21,07-Jan-21
9030421144,jaithawram,9030421144,07-Jan-21,07-Jan-21
9030422145,pilli mamidi,9030422145,07-Jan-21,07-Jan-21
9030422146,banjara thanda (P),9030422146,07-Jan-21,07-Jan-21
9030422147,murali nagar,9030422147,07-Jan-21,07-Jan-21
9030422148,chippala palli,9030422148,07-Jan-21,07-Jan-21
9030422149,dhannaram,9030422149,07-Jan-21,07-Jan-21
9030422150,peddamma thanda,9030422150,07-Jan-21,07-Jan-21
9030422151,dhawath guda thanda,9030422151,07-Jan-21,07-Jan-21
9030423152,gudur,9030423152,07-Jan-21,07-Jan-21
9030423153,kothur,9030423153,07-Jan-21,07-Jan-21
9030423154,annoji guda,9030423154,07-Jan-21,07-Jan-21
9030423155,katika palli,9030423155,07-Jan-21,07-Jan-21
9030423156,mala gudur (P),9030423156,07-Jan-21,07-Jan-21
9030423157,patha gudur (P),9030423157,07-Jan-21,07-Jan-21
9030423158,tulasi nagar (P),9030423158,07-Jan-21,07-Jan-21
9030423159,chinmaloni kunta thanda (P),9030423159,07-Jan-21,07-Jan-21
9030423160,begum pet thanda (P),9030423160,07-Jan-21,07-Jan-21
9030423161,rachulur,9030423161,07-Jan-21,07-Jan-21
9030424162,thimmapur,9030424162,07-Jan-21,07-Jan-21
9030424163,jabbar guda,9030424163,07-Jan-21,07-Jan-21
9030424164,madhapur,9030424164,07-Jan-21,07-Jan-21
9030424165,begum pet,9030424165,07-Jan-21,07-Jan-21
9030425166,akulamailaram ,9030425166,07-Jan-21,07-Jan-21
9030425167,gummadavelli,9030425167,07-Jan-21,07-Jan-21
9030425168,kolan guda,9030425168,07-Jan-21,07-Jan-21
9030425169,mala guda (P),9030425169,07-Jan-21,07-Jan-21
9030425170,gummadavelli thanda (P),9030425170,07-Jan-21,07-Jan-21
9030425171,mavilla kunta thanda (P),9030425171,07-Jan-21,07-Jan-21
9030425172,meerkhan pet,9030425172,07-Jan-21,07-Jan-21
9030425173,begari kancha,9030425173,07-Jan-21,07-Jan-21
9030526174,yacharam,9030526174,07-Jan-21,07-Jan-21
9030526175,chinthapatla,9030526175,07-Jan-21,07-Jan-21
9030526176,mogullavampu (P),9030526176,07-Jan-21,07-Jan-21
9030526177,palugu thanda (P),9030526177,07-Jan-21,07-Jan-21
9030526178,mondigoerelli,9030526178,07-Jan-21,07-Jan-21
9030526179,gandla guda,9030526179,07-Jan-21,07-Jan-21
9030526180,thakkala palli thanda,9030526180,07-Jan-21,07-Jan-21
9030526181,chowdar palli,9030526181,07-Jan-21,07-Jan-21
9030526182,nakka gutta thanda,9030526182,07-Jan-21,07-Jan-21
9030527183,gungal,9030527183,07-Jan-21,07-Jan-21
9030527184,indhira nagar (P),9030527184,07-Jan-21,07-Jan-21
9030527185,gaddamallaiah guda,9030527185,07-Jan-21,07-Jan-21
9030527186,pedda thundla,9030527186,07-Jan-21,07-Jan-21
9030528187,nandhivanaparthy,9030528187,07-Jan-21,07-Jan-21
9030528188,chinna thundla,9030528188,07-Jan-21,07-Jan-21
9030528189,bolli gutta thanda (P),9030528189,07-Jan-21,07-Jan-21
9030528190,bhasha moni guda (P),9030528190,07-Jan-21,07-Jan-21
9030528191,nazdik singaram,9030528191,07-Jan-21,07-Jan-21
9030528192,dharmanna gudem,9030528192,07-Jan-21,07-Jan-21
9030528193,ayyawari gudem,9030528193,07-Jan-21,07-Jan-21
9030528194,ennakindhi thanda,9030528194,07-Jan-21,07-Jan-21
9030529195,kumiddha,9030529195,07-Jan-21,07-Jan-21
