Basti ID,Basti  Name,Nagar ID,created on,updated on
8020449,GABBILALAPET,80204,07-Jan-21,07-Jan-21
8020450,CRPF,80204,07-Jan-21,07-Jan-21
8020551,Chakripuram,80205,07-Jan-21,07-Jan-21
8020552,Nagarjuna Nagar Colony,80205,07-Jan-21,07-Jan-21
8020553,Sai Nagar,80205,07-Jan-21,07-Jan-21
8020554,Kushaiguda,80205,07-Jan-21,07-Jan-21
8020555,Jammigadda,80205,07-Jan-21,07-Jan-21
8020556,Yellareddy Guda,80205,07-Jan-21,07-Jan-21
8020557,Kapra,80205,07-Jan-21,07-Jan-21
8020558,Srinivasa Nagar,80205,07-Jan-21,07-Jan-21
8020559,Netheji Nagar,80205,07-Jan-21,07-Jan-21
8020560,AS Rao Nagar,80205,07-Jan-21,07-Jan-21
8020561,Gandhi Nagar,80205,07-Jan-21,07-Jan-21
8020562,Gayathri Nagar,80205,07-Jan-21,07-Jan-21
8020563,Kamala Nagar,80205,07-Jan-21,07-Jan-21
8020564,Lakshmi Nagar,80205,07-Jan-21,07-Jan-21
8020565,Kailasagiri,80205,07-Jan-21,07-Jan-21
8020566,HB Colony,80205,07-Jan-21,07-Jan-21
8020567,Thirumala Nagar,80205,07-Jan-21,07-Jan-21
8020568,Ashok nagar,80205,07-Jan-21,07-Jan-21
8020569,EC Nagar,80205,07-Jan-21,07-Jan-21
8020570,Cherlapalli,80205,07-Jan-21,07-Jan-21
8020671,NAGARAM,80206,07-Jan-21,07-Jan-21
8020672,SATYANARAYANA NAGAR,80206,07-Jan-21,07-Jan-21
8020673,EAST GANDI NAGAR,80206,07-Jan-21,07-Jan-21
8020674,SV NAGAR,80206,07-Jan-21,07-Jan-21
8020675,RAMALINGESWARANAGAR,80206,07-Jan-21,07-Jan-21
8020676,VIVEKANANDA COLONY,80206,07-Jan-21,07-Jan-21
8020677,SAINAGAR,80206,07-Jan-21,07-Jan-21
8020678,DHAMMAI GUDA,80206,07-Jan-21,07-Jan-21
8020679,PS RAO NAGAR,80206,07-Jan-21,07-Jan-21
8020680,SHIVANANDAPURI COLONY,80206,07-Jan-21,07-Jan-21
8020781,KEESARA,80207,07-Jan-21,07-Jan-21
8020782,RAMPALLI,80207,07-Jan-21,07-Jan-21
8020783,CHEERYAL,80207,07-Jan-21,07-Jan-21
8030101,SHIVAJI NAGAR,80301,07-Jan-21,07-Jan-21
8030102,MARUTHI VEEDHI,80301,07-Jan-21,07-Jan-21
8030103,JEERA,80301,07-Jan-21,07-Jan-21
8030104,REZIMENTAL BAZAR,80301,07-Jan-21,07-Jan-21
8030105,VYDIC NAGAR,80301,07-Jan-21,07-Jan-21
8030106,RANIGUNJ,80301,07-Jan-21,07-Jan-21
8030107,OLD GHASMANDI,80301,07-Jan-21,07-Jan-21
8030108,OLD BHOIGUDA,80301,07-Jan-21,07-Jan-21
8030109,PAN BAZAAR,80301,07-Jan-21,07-Jan-21
8030110,NALLAGUTTA,80301,07-Jan-21,07-Jan-21
8030111,PG ROAD,80301,07-Jan-21,07-Jan-21
8030112,KALASIGUDA,80301,07-Jan-21,07-Jan-21
8030113,AVULAMANDA,80301,07-Jan-21,07-Jan-21
8030114,AUDIAIAH NAGAR,80301,07-Jan-21,07-Jan-21
8030215,WARASIGUDA,80302,07-Jan-21,07-Jan-21
8030216,SRINIVASA NAGAR,80302,07-Jan-21,07-Jan-21
8030217,SEETHAFALMANDI,80302,07-Jan-21,07-Jan-21
8030218,PADMARAO NAGAR,80302,07-Jan-21,07-Jan-21
8030219,NAMALAGUNDU,80302,07-Jan-21,07-Jan-21
8030220,MYLARGADDA,80302,07-Jan-21,07-Jan-21
8030221,METTUGUDA,80302,07-Jan-21,07-Jan-21
8030222,MEDIBAI (Warasiguda),80302,07-Jan-21,07-Jan-21
8030223,L NARAYANA NAGAR (Warasiguda),80302,07-Jan-21,07-Jan-21
8030224,KESHAVANAGAR COLONY (Mettuguda),80302,07-Jan-21,07-Jan-21
8030225,HAMAL BASTI (Chilakalguda Railway quarters),80302,07-Jan-21,07-Jan-21
8030226,CHINTA BAI (Chilakalguda),80302,07-Jan-21,07-Jan-21
8030227,CHILAKALA GUDA,80302,07-Jan-21,07-Jan-21
8030228,BOUDHANAGAR,80302,07-Jan-21,07-Jan-21
8030329,Bansilalpet,80303,07-Jan-21,07-Jan-21
8030330,Arunjyoti Colony,80303,07-Jan-21,07-Jan-21
8030331,Gandhinagar,80303,07-Jan-21,07-Jan-21
8030332,New Bhoiguda,80303,07-Jan-21,07-Jan-21
8030333,IDH Colony,80303,07-Jan-21,07-Jan-21
8030334,Krishna Nagar,80303,07-Jan-21,07-Jan-21
8030335,Bholakpoor,80303,07-Jan-21,07-Jan-21
8030336,Padmashali Colony,80303,07-Jan-21,07-Jan-21
8030337,Thallabasthi,80303,07-Jan-21,07-Jan-21
8030338,Kavadiguda,80303,07-Jan-21,07-Jan-21
8030439,Tukaram Gate,80304,07-Jan-21,07-Jan-21
8030440,AddaGutta (East),80304,07-Jan-21,07-Jan-21
8030441,AddaGutta(West),80304,07-Jan-21,07-Jan-21
8030442,Marredpally (East),80304,07-Jan-21,07-Jan-21
8030443,MarredPally (West),80304,07-Jan-21,07-Jan-21
8030444,GandhiNagar,80304,07-Jan-21,07-Jan-21
8030445,MahendraHills,80304,07-Jan-21,07-Jan-21
8030446,Picket,80304,07-Jan-21,07-Jan-21
8030447,Karkhana,80304,07-Jan-21,07-Jan-21
