Basti / Upamandal ID,Basti / Upamandal Name,Nagar ID,Modified on,creaetd on
80406033,SURARAM VILLAGE ,80406,19-Jan-21,19-Jan-21
80406034,Aparupa colony,80406,19-Jan-21,19-Jan-21
80407035,GAJULA RAMARAM ,80407,19-Jan-21,19-Jan-21
80407036,HAL ,80407,19-Jan-21,19-Jan-21
80407037,SARDAR PATEL ,80407,19-Jan-21,19-Jan-21
80407038,SRINIVAS NAGAR,80407,19-Jan-21,19-Jan-21
80407039,KALAWATI NAGAR,80407,19-Jan-21,19-Jan-21
80407040,SANJAYGANDHI NAGAR,80407,19-Jan-21,19-Jan-21
80407041,SHAPUR,80407,19-Jan-21,19-Jan-21
80407042,SUBHASH NAGAR,80407,19-Jan-21,19-Jan-21
80408043,INDRASING NAGAR ,80408,19-Jan-21,19-Jan-21
80408044,BALANAGAR ,80408,19-Jan-21,19-Jan-21
80408045,BHEL ,80408,19-Jan-21,19-Jan-21
80408046,ADARSH NAGAR,80408,19-Jan-21,19-Jan-21
80408047,SURYANAGAR,80408,19-Jan-21,19-Jan-21
80408048,GANESH NAGAR,80408,19-Jan-21,19-Jan-21
80408049,BALREDDY NAGAR,80408,19-Jan-21,19-Jan-21
80408050,QUTUBULLAPUR,80408,19-Jan-21,19-Jan-21
80408051,VAJPAYEE NAGAR,80408,19-Jan-21,19-Jan-21
80408052,SRI RAM NAGAR,80408,19-Jan-21,19-Jan-21
