Basti ID,Basti  Name,Nagar ID,Created On,Modified On
80302023,L NARAYANA NAGAR (Warasiguda),80302,08-Jan-21,08-Jan-21
80302024,KESHAVANAGAR COLONY (Mettuguda),80302,08-Jan-21,08-Jan-21
80302025,HAMAL BASTI (Chilakalguda Railway quarters),80302,08-Jan-21,08-Jan-21
80302026,CHINTA BAI (Chilakalguda),80302,08-Jan-21,08-Jan-21
80302027,CHILAKALA GUDA,80302,08-Jan-21,08-Jan-21
80302028,BOUDHANAGAR,80302,08-Jan-21,08-Jan-21
80303029,Bansilalpet,80303,08-Jan-21,08-Jan-21
80303030,Arunjyoti Colony,80303,08-Jan-21,08-Jan-21
80303031,Gandhinagar,80303,08-Jan-21,08-Jan-21
80303032,New Bhoiguda,80303,08-Jan-21,08-Jan-21
80303033,IDH Colony,80303,08-Jan-21,08-Jan-21
80303034,Krishna Nagar,80303,08-Jan-21,08-Jan-21
80303035,Bholakpoor,80303,08-Jan-21,08-Jan-21
80303036,Padmashali Colony,80303,08-Jan-21,08-Jan-21
80303037,Thallabasthi,80303,08-Jan-21,08-Jan-21
80303038,Kavadiguda,80303,08-Jan-21,08-Jan-21
80304039,Tukaram Gate,80304,08-Jan-21,08-Jan-21
80304040,AddaGutta (East),80304,08-Jan-21,08-Jan-21
80304041,AddaGutta(West),80304,08-Jan-21,08-Jan-21
80304042,Marredpally (East),80304,08-Jan-21,08-Jan-21
80304043,MarredPally (West),80304,08-Jan-21,08-Jan-21
80304044,GandhiNagar,80304,08-Jan-21,08-Jan-21
80304045,MahendraHills,80304,08-Jan-21,08-Jan-21
80304046,Picket,80304,08-Jan-21,08-Jan-21
80304047,Karkhana,80304,08-Jan-21,08-Jan-21
80304048,ThirmulGerry,80304,08-Jan-21,08-Jan-21
80305049,SHYAMLAL,80305,08-Jan-21,08-Jan-21
80305050,RASOOLPURA,80305,08-Jan-21,08-Jan-21
80305051,PRAKASH NAGAR,80305,08-Jan-21,08-Jan-21
80305052,POLICE LINES,80305,08-Jan-21,08-Jan-21
80305053,BALAMRAI,80305,08-Jan-21,08-Jan-21
80305054,OLD CUSTOMS,80305,08-Jan-21,08-Jan-21
80305055,BRAMHANVADI,80305,08-Jan-21,08-Jan-21
80305056,MAYURI MARG,80305,08-Jan-21,08-Jan-21
80305057,PATIGADDA,80305,08-Jan-21,08-Jan-21
80306058,Lotukunta,80306,08-Jan-21,08-Jan-21
80306059,West Venkatapuram,80306,08-Jan-21,08-Jan-21
80306060,Venkatapuram,80306,08-Jan-21,08-Jan-21
80306061,Alwal,80306,08-Jan-21,08-Jan-21
80306062,Temple Alwal,80306,08-Jan-21,08-Jan-21
80306063,Reddy Enclave,80306,08-Jan-21,08-Jan-21
80306064,Old Alwal,80306,08-Jan-21,08-Jan-21
