Palle ID,Palle Name,Upabasti / Gramam ID,Created On,Modified On
80405028127,JEEVAN JYOTI,80405028127,08-Jan-21,08-Jan-21
80405028128,BHAVANI NAGAR,80405028128,08-Jan-21,08-Jan-21
80405029129,PRIYANKA NAGAR,80405029129,08-Jan-21,08-Jan-21
80405029130,DAYANAND BASTI,80405029130,08-Jan-21,08-Jan-21
80405029131,ANAND NAGAR,80405029131,08-Jan-21,08-Jan-21
80405030132,PUSHPAGIRI BASTI,80405030132,08-Jan-21,08-Jan-21
80405030133,KUNA KRISHNA GOUD,80405030133,08-Jan-21,08-Jan-21
80405030134,PANDU BASTI,80405030134,08-Jan-21,08-Jan-21
80405031135,KRISHNA NAGAR,80405031135,08-Jan-21,08-Jan-21
80405032136,RAJIVA GANDHI NAGAR,80405032136,08-Jan-21,08-Jan-21
80405032137,SHIVALAYA NAGAR,80405032137,08-Jan-21,08-Jan-21
80405033138,KRISHNA NAGAR,80405033138,08-Jan-21,08-Jan-21
80405033139,VISHWAKARMA COLONY,80405033139,08-Jan-21,08-Jan-21
80405033140,LAXMI NAGAR COLONY,80405033140,08-Jan-21,08-Jan-21
80405033141,VENKATARAM NAGAR COLONY,80405033141,08-Jan-21,08-Jan-21
80406034142,APARUPA COLONY,80406034142,08-Jan-21,08-Jan-21
80406034143,SR NAYAK NAGAR,80406034143,08-Jan-21,08-Jan-21
80406034144,PRASHANT NAGAR,80406034144,08-Jan-21,08-Jan-21
80406034145,JANAPRIYA APMT.,80406034145,08-Jan-21,08-Jan-21
80406034146,MODI APMT.,80406034146,08-Jan-21,08-Jan-21
80407035147,DEVENDRA NAGAR,80407035147,08-Jan-21,08-Jan-21
80407035148,KESHAV NAGAR,80407035148,08-Jan-21,08-Jan-21
80407035149,CHANDRAGIRI NAGAR,80407035149,08-Jan-21,08-Jan-21
80407036150,METKENGUDA,80407036150,08-Jan-21,08-Jan-21
80407036151,ADARSH NAGAR,80407036151,08-Jan-21,08-Jan-21
80407036152,HAL COLONY,80407036152,08-Jan-21,08-Jan-21
80407036153,MARKANDEYA COLONY,80407036153,08-Jan-21,08-Jan-21
80407037154,INDIRA COLONY-A,80407037154,08-Jan-21,08-Jan-21
80407037155,INDIRA COLONY-B,80407037155,08-Jan-21,08-Jan-21
80407037156,SUBHASH NAGAR-A,80407037156,08-Jan-21,08-Jan-21
80407037157,SUBHASH NAGAR-B,80407037157,08-Jan-21,08-Jan-21
80407037158,PATEL COLONY,80407037158,08-Jan-21,08-Jan-21
80407037159,SRIRAM NAGAR,80407037159,08-Jan-21,08-Jan-21
80407037160,BHAGATSING,80407037160,08-Jan-21,08-Jan-21
80407038161,SRINIVAS COLONY,80407038161,08-Jan-21,08-Jan-21
80407038162,VIVEKANANDA COLONY,80407038162,08-Jan-21,08-Jan-21
80407038163,SRINIVAS NAGAR ,80407038163,08-Jan-21,08-Jan-21
80407038164,NLB COLONY,80407038164,08-Jan-21,08-Jan-21
80407039165,KALAWATI NAGAR-A,80407039165,08-Jan-21,08-Jan-21
80407039166,KALAWATI NAGAR-B,80407039166,08-Jan-21,08-Jan-21
80407039167,GAYATRI APMNT,80407039167,08-Jan-21,08-Jan-21
